FH ID,Hotel Name,City,Address,Zipcode,Latitude,Longitude,Link,B.com ID
821102,Seasons Suites,Bangalore,"96, 60 Feet Road, 6th Block, Koramangala, Bengaluru, Bengaluru Urban, Karnataka - 560095",560095,12.93831407,77.62132537,https://www.booking.com/hotel/in/4-seasons-suites.en-gb.html?aid=311984&label=4-seasons-suites-kprBz9HuxKA84ZFSLE62DgS477341606351%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-588161303475%3Alp9062046%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YbSsBl3MCvHsD8UKUHIRFxY&sid=8f958d0909ca2fa62f5297d9c7919f64&all_sr_blocks=382116610_274019519_0_42_0;checkin=2024-05-22;checkout=2024-05-23;dest_id=-2090174;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=382116610_274019519_0_42_0;hpos=1;matching_block_id=382116610_274019519_0_42_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;sr_order=popularity;sr_pri_blocks=382116610_274019519_0_42_0__315300;srepoch=1716174682;srpvid=2ca516699dd402bf;type=total;ucfs=1&,3821166
821110,Hotel Bella Vista,Udaipur,"Plot No: 6, 100 ft road, near Roop Madhu-Ban complex, near shobhapura circle, Udaipur - 313001",313001,24.6053551,73.7090252,https://www.booking.com/hotel/in/collection-o-bella-vista.en-gb.html?aid=1288254&label=metagha-link-LUIN-hotel-11367482_dev-mobile_los-1_bw-30_dow-Wednesday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-6642513999_mcid-10_ppa-0_clrid-0_ad-1_gstkid-0_checkin-20240619_ppt-Cg_lp-2356_r-2403304605837676484&sid=eadcb6226c2a10a8f5bc622e2fb2bd00&all_sr_blocks=1136748202_386288530_2_0_0&checkin=2024-06-19&checkout=2024-06-20&dest_id=-2113635&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=1136748202_386288530_2_0_0&hpos=1&matching_block_id=1136748202_386288530_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1136748202_386288530_2_0_0__223036&srepoch=1716533912&srpvid=e65130e48ca700be&type=total&ucfs=1&activeTab=photosGallery,11367482
817526,Collection O New Balaji Homestay,Tirupati,"22-11-46/3A 1, OPP. Royal Enfield Showroom, Polavanigunta, Tirupati - 517501",517501,13.75545,79.66167,https://www.booking.com/hotel/in/collection-o-81449-new-balaji-homestay.en-gb.html?aid=356980&label=gog235jc-1DCAsobEImY29sbGVjdGlvbi1vLTgxNDQ5LW5ldy1iYWxhamktaG9tZXN0YXlICVgDaGyIAQGYAQm4ARjIAQzYAQPoAQH4AQKIAgGoAgS4AuHu5bIGwAIB0gIkMjIwOWIzNDctODc0OC00ZWE3LTk3MzItNDkxNGY3NmUyNzg12AIE4AIB&sid=52eff49eac8fafc5de599bfad7841b6b&all_sr_blocks=1023557903_375713654_2_0_0;checkin=2024-05-31;checkout=2024-06-01;dest_id=-2113256;dest_type=city;dist=0;group_adults=2;group_children=0;hapos=1;highlighted_blocks=1023557903_375713654_2_0_0;hpos=1;matching_block_id=1023557903_375713654_2_0_0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;show_room=1023557903;sr_order=popularity;sr_pri_blocks=1023557903_375713654_2_0_0__103788;srepoch=1717139539;srpvid=d6ef32a7aff5006c;type=total;ucfs=1&#RD1023557903,10235579
53163,Capitol Residency,Ranchi,"Station Rd, Sirom Toly, Kishan Singh Colony, Gosaintola, Ranchi - 834001",834001,23.34983,85.33053,https://www.booking.com/hotel/in/capitol-residecy.en-gb.html?aid=2127560&label=metagha-link-LUIN-hotel-623010_dev-mobile_los-1_bw-1_dow-Tuesday_defdate-1_room-0_gstadt-2_rateid-public_aud-0_gacid-_mcid-10_ppa-0_clrid-0_ad-0_gstkid-0_checkin-20230829_&sid=232989816cc7a5511706ea70c726e80d&checkin=2023-08-29;checkout=2023-08-30;edgtid=Z1bU_-bxRTGol23xr5rdcw;efpc=YACwCmcgsAoT;ext_price_total=6720.00;group_adults=2;group_children=0;no_rooms=1;req_adults=2;req_children=0;room1=A%2CA;sb_price_type=total;show_room=62301002_372275763_2_33_0;ts=1693201464;type=total&,623010
439690,Close2c Holiday Home By Eleet Hotels,Goa,"Survey No 111/12, Rd Piquen Peddem Monteiro, Vaddo Anjuna, Goa - 403509",403509,15.578007,73.747334,https://www.booking.com/hotel/in/close2c-holiday-home-by-eleet-hotels.en-gb.html,9406800
716276,24 & 7 - Malviya Nagar,New Delhi,"D-45, Begumpur, Malviya Nagar, New Delhi - 110017",110017,28.5374394,77.207416,https://www.booking.com/hotel/in/roomshala-140-24-7.en-gb.html?aid=866831&app_hotel_id=11220333&checkin=2024-03-13&checkout=2024-03-14&from_sn=ios&group_adults=2&group_children=0&label=seo-1pd15sRdYLmRV8eNGnRYMBkfzB9ynbmQmWBIb8PPP53kvEOXo-9EMpjarmG2Rou8aGf0LS2Iuwr7yG85jYWZQ-ec4i5UG%401710305516&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA%2C,11220333
733535,Hotel Lakshmi Palace,New Delhi,"A 150/151, Road no 4, Gali No 9, Mahipalpur Extension, New Delhi - 110037",110037,28.54971549,77.13115624,https://www.booking.com/hotel/in/lakshmi-palace-new-delhi1.en-gb.html?aid=356980&label=gog235jc-1BCAsobEIVbGFrc2htaS1wYWxhY2UtZGVsaGkxSDNYA2hsiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuALajIqwBsACAdICJDc2Y2FjMjYyLWRhMDQtNDlkOC04NjAyLTdkYTk2ODFkOWI0MdgCBeACAQ&sid=eadcb6226c2a10a8f5bc622e2fb2bd00,11006589
733531,THE MARELLA SUITES,Bangalore,"33, Nisarga Layout, Opposite RNSIT College, Rajarajeshwari Nagar, Bangalore - 560098",560098,12.90917366,77.52227381,https://www.booking.com/hotel/in/the-marella-suites.en-gb.html?aid=356980&label=gog235jc-1DCAsobEISdGhlLW1hcmVsbGEtc3VpdGVzSDNYA2hsiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuAKRj_SvBsACAdICJGQ1YjA5ZTEwLWY4YzgtNGZmYi1hYTU4LTA3NDljYmI5MzU2ONgCBOACAQ&sid=8f958d0909ca2fa62f5297d9c7919f64&dist=0&keep_landing=1&sb_price_type=total&type=total&,11535468
827213,Collection O 1019 Galaxy Suites,Hyderabad,"3,4,5, H.No 3-3-525, New Hafeezpet, Subash Chandra Bose Nagar, Rangareddy, Hyderabad - 500049",500049,17.4738481,78.3643173,https://www.booking.com/hotel/in/townhouse-1019-galaxy-suites.en-gb.html,8551362
47988,Collection O Hotel Aloft,Jaipur,"22 Jagatpura Flyover Road, Railway Colony, Jaipur - 302017",302017,26.831626,75.841501,https://www.booking.com/hotel/in/collection-o-80480-elite.en-gb.html,9389475
